date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:50	4024/4024	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22fb8-5823bbbdc1f80%22	https://eres.dexignzone.com/xhtml/vendor/lightgallery/fonts/lg.eot?	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/lightgallery/fonts/lgd41d.eot	(from https://eres.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css)
19:09:51	3956/3956	---M--	200	added ('OK')	application/font-woff	etag:%22f74-5823bbbdc1f80%22	https://eres.dexignzone.com/xhtml/vendor/lightgallery/fonts/lg.woff?n1z373	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/lightgallery/fonts/lgd641.woff	(from https://eres.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css)
19:09:52	3880/3880	---M--	200	added ('OK')	application/x-font-ttf	etag:%22f28-5823bbbdc1f80%22	https://eres.dexignzone.com/xhtml/vendor/lightgallery/fonts/lg.ttf?n1z373	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/lightgallery/fonts/lgd641.ttf	(from https://eres.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css)
19:09:53	8855/8855	---M--	200	added ('OK')	image/svg+xml	etag:%222297-5823bbbdc1f80%22	https://eres.dexignzone.com/xhtml/vendor/lightgallery/fonts/lg.svg?n1z373	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/lightgallery/fonts/lgd641.svg	(from https://eres.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css)
19:09:54	5428/5428	---M--	200	added ('OK')	image/png	etag:%221534-5823bbbdc1f80%22	https://eres.dexignzone.com/xhtml/vendor/lightgallery/img/vimeo-play.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/lightgallery/img/vimeo-play.png	(from https://eres.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css)
19:09:55	4526/4526	---M--	200	added ('OK')	image/png	etag:%2211ae-5823bbbdc1f80%22	https://eres.dexignzone.com/xhtml/vendor/lightgallery/img/video-play.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/lightgallery/img/video-play.png	(from https://eres.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css)
19:09:56	5177/5177	---M--	200	added ('OK')	image/png	etag:%221439-5823bbbdc1f80%22	https://eres.dexignzone.com/xhtml/vendor/lightgallery/img/youtube-play.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/lightgallery/img/youtube-play.png	(from https://eres.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css)
19:09:57	4178/4178	---M--	200	added ('OK')	image/gif	etag:%221052-5823bbbdc1f80%22	https://eres.dexignzone.com/xhtml/vendor/lightgallery/img/loading.gif	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/lightgallery/img/loading.gif	(from https://eres.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css)
19:09:58	1087/1087	---M--	200	added ('OK')	image/png	etag:%2243f-5b079faa1ea80%22	https://eres.dexignzone.com/xhtml/vendor/datatables/images/sort_both.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/datatables/images/sort_both.png	(from https://eres.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css)
19:09:59	1023/1023	---M--	200	added ('OK')	image/png	etag:%223ff-5b079fd22c900%22	https://eres.dexignzone.com/xhtml/vendor/datatables/images/sort_asc.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/datatables/images/sort_asc.png	(from https://eres.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css)
